,ClientMacAddr,frequency,Name,Job_Title,security_level,classification,Level,lat,lng,localtime
0,80:58:f8:50:39:b4,29,Jorge Sullivan,Business Analyst,2.0,employee,0,51.46038837,-0.93313945,2020-01-15 10:04:40.093
1,80:58:f8:50:39:b4,29,Jorge Sullivan,Business Analyst,2.0,employee,0,51.460437445798405,-0.933080850266293,2020-01-15 10:04:35.040
2,80:58:f8:50:39:b4,29,Jorge Sullivan,Business Analyst,2.0,employee,0,51.460437445798405,-0.933080850266293,2020-01-15 10:04:25.009
3,80:58:f8:50:39:b4,29,Jorge Sullivan,Business Analyst,2.0,employee,0,51.460437445798405,-0.933080850266293,2020-01-15 10:04:19.899
4,80:58:f8:50:39:b4,29,Jorge Sullivan,Business Analyst,2.0,employee,0,51.460437445798405,-0.933080850266293,2020-01-15 10:04:09.868
5,80:58:f8:50:39:b4,29,Jorge Sullivan,Business Analyst,2.0,employee,0,51.460437445798405,-0.933080850266293,2020-01-15 10:03:59.746
6,80:58:f8:50:39:b4,29,Jorge Sullivan,Business Analyst,2.0,employee,0,51.460437445798405,-0.933080850266293,2020-01-15 10:03:49.719
7,80:58:f8:50:39:b4,29,Jorge Sullivan,Business Analyst,2.0,employee,0,51.460437445798405,-0.933080850266293,2020-01-15 10:03:39.686
8,80:58:f8:50:39:b4,29,Jorge Sullivan,Business Analyst,2.0,employee,0,51.460437445798405,-0.933080850266293,2020-01-15 10:03:29.567
9,80:58:f8:50:39:b4,29,Jorge Sullivan,Business Analyst,2.0,employee,0,51.460437445798405,-0.933080850266293,2020-01-15 10:03:19.536
10,80:58:f8:50:39:b4,29,Jorge Sullivan,Business Analyst,2.0,employee,0,51.460437445798405,-0.933080850266293,2020-01-15 10:03:09.510
11,80:58:f8:50:39:b4,29,Jorge Sullivan,Business Analyst,2.0,employee,0,51.460437445798405,-0.933080850266293,2020-01-15 10:02:59.395
12,80:58:f8:50:39:b4,29,Jorge Sullivan,Business Analyst,2.0,employee,0,51.460437445798405,-0.933080850266293,2020-01-15 10:02:49.356
13,80:58:f8:50:39:b4,29,Jorge Sullivan,Business Analyst,2.0,employee,0,51.46094269,-0.9321665,2019-10-17 12:15:20.983
14,80:58:f8:50:39:b4,29,Jorge Sullivan,Business Analyst,2.0,employee,0,51.46094269,-0.9321665,2019-10-17 12:13:41.746
15,80:58:f8:50:39:b4,29,Jorge Sullivan,Business Analyst,2.0,employee,0,51.46094269,-0.9321665,2019-10-17 12:12:21.459
